1 6 11 16
1 6 11 21
1 6 11 26
1 6 11 31
1 6 11 36
1 6 11 41
1 6 11 5
1 6 11 10
1 6 11 15
1 6 11 20
1 6 11 25
1 6 11 30
1 6 11 35
1 6 11 40
1 6 11 45
1 6 16 21
1 6 16 26
1 6 16 31
1 6 16 36
1 6 16 41
1 6 16 5
1 6 16 10
1 6 16 15
1 6 16 20
1 6 16 25
1 6 16 30
1 6 16 35
1 6 16 40
1 6 16 45
1 6 21 26
1 6 21 31
1 6 21 36
1 6 21 41
1 6 21 5
1 6 21 10
1 6 21 15
1 6 21 20
1 6 21 25
1 6 21 30
1 6 21 35
1 6 21 40
1 6 21 45
1 6 26 31
1 6 26 36
1 6 26 41
1 6 26 5
1 6 26 10
1 6 26 15
1 6 26 20
1 6 26 25
1 6 26 30
1 6 26 35
1 6 26 40
1 6 26 45
1 6 31 36
1 6 31 41
1 6 31 5
1 6 31 10
1 6 31 15
1 6 31 20
1 6 31 25
1 6 31 30
1 6 31 35
1 6 31 40
1 6 31 45
1 6 36 41
1 6 36 5
1 6 36 10
1 6 36 15
1 6 36 20
1 6 36 25
1 6 36 30
1 6 36 35
1 6 36 40
1 6 36 45
1 6 41 5
1 6 41 10
1 6 41 15
1 6 41 20
1 6 41 25
1 6 41 30
1 6 41 35
1 6 41 40
1 6 41 45
1 6 5 10
1 6 5 15
1 6 5 20
1 6 5 25
1 6 5 30
1 6 5 35
1 6 5 40
1 6 5 45
1 6 10 15
1 6 10 20
1 6 10 25
1 6 10 30
1 6 10 35
1 6 10 40
1 6 10 45
1 6 15 20
1 6 15 25
1 6 15 30
1 6 15 35
1 6 15 40
1 6 15 45
1 6 20 25
1 6 20 30
1 6 20 35
1 6 20 40
1 6 20 45
1 6 25 30
1 6 25 35
1 6 25 40
1 6 25 45
1 6 30 35
1 6 30 40
1 6 30 45
1 6 35 40
1 6 35 45
1 6 40 45
1 11 16 21
1 11 16 26
1 11 16 31
1 11 16 36
1 11 16 41
1 11 16 5
1 11 16 10
1 11 16 15
1 11 16 20
1 11 16 25
1 11 16 30
1 11 16 35
1 11 16 40
1 11 16 45
1 11 21 26
1 11 21 31
1 11 21 36
1 11 21 41
1 11 21 5
1 11 21 10
1 11 21 15
1 11 21 20
1 11 21 25
1 11 21 30
1 11 21 35
1 11 21 40
1 11 21 45
1 11 26 31
1 11 26 36
1 11 26 41
1 11 26 5
1 11 26 10
1 11 26 15
1 11 26 20
1 11 26 25
1 11 26 30
1 11 26 35
1 11 26 40
1 11 26 45
1 11 31 36
1 11 31 41
1 11 31 5
1 11 31 10
1 11 31 15
1 11 31 20
1 11 31 25
1 11 31 30
1 11 31 35
1 11 31 40
1 11 31 45
1 11 36 41
1 11 36 5
1 11 36 10
1 11 36 15
1 11 36 20
1 11 36 25
1 11 36 30
1 11 36 35
1 11 36 40
1 11 36 45
1 11 41 5
1 11 41 10
1 11 41 15
1 11 41 20
1 11 41 25
1 11 41 30
1 11 41 35
1 11 41 40
1 11 41 45
1 11 5 10
1 11 5 15
1 11 5 20
1 11 5 25
1 11 5 30
1 11 5 35
1 11 5 40
1 11 5 45
1 11 10 15
1 11 10 20
1 11 10 25
1 11 10 30
1 11 10 35
1 11 10 40
1 11 10 45
1 11 15 20
1 11 15 25
1 11 15 30
1 11 15 35
1 11 15 40
1 11 15 45
1 11 20 25
1 11 20 30
1 11 20 35
1 11 20 40
1 11 20 45
1 11 25 30
1 11 25 35
1 11 25 40
1 11 25 45
1 11 30 35
1 11 30 40
1 11 30 45
1 11 35 40
1 11 35 45
1 11 40 45
1 16 21 26
1 16 21 31
1 16 21 36
1 16 21 41
1 16 21 5
1 16 21 10
1 16 21 15
1 16 21 20
1 16 21 25
1 16 21 30
1 16 21 35
1 16 21 40
1 16 21 45
1 16 26 31
1 16 26 36
1 16 26 41
1 16 26 5
1 16 26 10
1 16 26 15
1 16 26 20
1 16 26 25
1 16 26 30
1 16 26 35
1 16 26 40
1 16 26 45
1 16 31 36
1 16 31 41
1 16 31 5
1 16 31 10
1 16 31 15
1 16 31 20
1 16 31 25
1 16 31 30
1 16 31 35
1 16 31 40
1 16 31 45
1 16 36 41
1 16 36 5
1 16 36 10
1 16 36 15
1 16 36 20
1 16 36 25
1 16 36 30
1 16 36 35
1 16 36 40
1 16 36 45
1 16 41 5
1 16 41 10
1 16 41 15
1 16 41 20
1 16 41 25
1 16 41 30
1 16 41 35
1 16 41 40
1 16 41 45
1 16 5 10
1 16 5 15
1 16 5 20
1 16 5 25
1 16 5 30
1 16 5 35
1 16 5 40
1 16 5 45
1 16 10 15
1 16 10 20
1 16 10 25
1 16 10 30
1 16 10 35
1 16 10 40
1 16 10 45
1 16 15 20
1 16 15 25
1 16 15 30
1 16 15 35
1 16 15 40
1 16 15 45
1 16 20 25
1 16 20 30
1 16 20 35
1 16 20 40
1 16 20 45
1 16 25 30
1 16 25 35
1 16 25 40
1 16 25 45
1 16 30 35
1 16 30 40
1 16 30 45
1 16 35 40
1 16 35 45
1 16 40 45
1 21 26 31
1 21 26 36
1 21 26 41
1 21 26 5
1 21 26 10
1 21 26 15
1 21 26 20
1 21 26 25
1 21 26 30
1 21 26 35
1 21 26 40
1 21 26 45
1 21 31 36
1 21 31 41
1 21 31 5
1 21 31 10
1 21 31 15
1 21 31 20
1 21 31 25
1 21 31 30
1 21 31 35
1 21 31 40
1 21 31 45
1 21 36 41
1 21 36 5
1 21 36 10
1 21 36 15
1 21 36 20
1 21 36 25
1 21 36 30
1 21 36 35
1 21 36 40
1 21 36 45
1 21 41 5
1 21 41 10
1 21 41 15
1 21 41 20
1 21 41 25
1 21 41 30
1 21 41 35
1 21 41 40
1 21 41 45
1 21 5 10
1 21 5 15
1 21 5 20
1 21 5 25
1 21 5 30
1 21 5 35
1 21 5 40
1 21 5 45
1 21 10 15
1 21 10 20
1 21 10 25
1 21 10 30
1 21 10 35
1 21 10 40
1 21 10 45
1 21 15 20
1 21 15 25
1 21 15 30
1 21 15 35
1 21 15 40
1 21 15 45
1 21 20 25
1 21 20 30
1 21 20 35
1 21 20 40
1 21 20 45
1 21 25 30
1 21 25 35
1 21 25 40
1 21 25 45
1 21 30 35
1 21 30 40
1 21 30 45
1 21 35 40
1 21 35 45
1 21 40 45
1 26 31 36
1 26 31 41
1 26 31 5
1 26 31 10
1 26 31 15
1 26 31 20
1 26 31 25
1 26 31 30
1 26 31 35
1 26 31 40
1 26 31 45
1 26 36 41
1 26 36 5
1 26 36 10
1 26 36 15
1 26 36 20
1 26 36 25
1 26 36 30
1 26 36 35
1 26 36 40
1 26 36 45
1 26 41 5
1 26 41 10
1 26 41 15
1 26 41 20
1 26 41 25
1 26 41 30
1 26 41 35
1 26 41 40
1 26 41 45
1 26 5 10
1 26 5 15
1 26 5 20
1 26 5 25
1 26 5 30
1 26 5 35
1 26 5 40
1 26 5 45
1 26 10 15
1 26 10 20
1 26 10 25
1 26 10 30
1 26 10 35
1 26 10 40
1 26 10 45
1 26 15 20
1 26 15 25
1 26 15 30
1 26 15 35
1 26 15 40
1 26 15 45
1 26 20 25
1 26 20 30
1 26 20 35
1 26 20 40
1 26 20 45
1 26 25 30
1 26 25 35
1 26 25 40
1 26 25 45
1 26 30 35
1 26 30 40
1 26 30 45
1 26 35 40
1 26 35 45
1 26 40 45
1 31 36 41
1 31 36 5
1 31 36 10
1 31 36 15
1 31 36 20
1 31 36 25
1 31 36 30
1 31 36 35
1 31 36 40
1 31 36 45
1 31 41 5
1 31 41 10
1 31 41 15
1 31 41 20
1 31 41 25
1 31 41 30
1 31 41 35
1 31 41 40
1 31 41 45
1 31 5 10
1 31 5 15
1 31 5 20
1 31 5 25
1 31 5 30
1 31 5 35
1 31 5 40
1 31 5 45
1 31 10 15
1 31 10 20
1 31 10 25
1 31 10 30
1 31 10 35
1 31 10 40
1 31 10 45
1 31 15 20
1 31 15 25
1 31 15 30
1 31 15 35
1 31 15 40
1 31 15 45
1 31 20 25
1 31 20 30
1 31 20 35
1 31 20 40
1 31 20 45
1 31 25 30
1 31 25 35
1 31 25 40
1 31 25 45
1 31 30 35
1 31 30 40
1 31 30 45
1 31 35 40
1 31 35 45
1 31 40 45
1 36 41 5
1 36 41 10
1 36 41 15
1 36 41 20
1 36 41 25
1 36 41 30
1 36 41 35
1 36 41 40
1 36 41 45
1 36 5 10
1 36 5 15
1 36 5 20
1 36 5 25
1 36 5 30
1 36 5 35
1 36 5 40
1 36 5 45
1 36 10 15
1 36 10 20
1 36 10 25
1 36 10 30
1 36 10 35
1 36 10 40
1 36 10 45
1 36 15 20
1 36 15 25
1 36 15 30
1 36 15 35
1 36 15 40
1 36 15 45
1 36 20 25
1 36 20 30
1 36 20 35
1 36 20 40
1 36 20 45
1 36 25 30
1 36 25 35
1 36 25 40
1 36 25 45
1 36 30 35
1 36 30 40
1 36 30 45
1 36 35 40
1 36 35 45
1 36 40 45
1 41 5 10
1 41 5 15
1 41 5 20
1 41 5 25
1 41 5 30
1 41 5 35
1 41 5 40
1 41 5 45
1 41 10 15
1 41 10 20
1 41 10 25
1 41 10 30
1 41 10 35
1 41 10 40
1 41 10 45
1 41 15 20
1 41 15 25
1 41 15 30
1 41 15 35
1 41 15 40
1 41 15 45
1 41 20 25
1 41 20 30
1 41 20 35
1 41 20 40
1 41 20 45
1 41 25 30
1 41 25 35
1 41 25 40
1 41 25 45
1 41 30 35
1 41 30 40
1 41 30 45
1 41 35 40
1 41 35 45
1 41 40 45
1 5 10 15
1 5 10 20
1 5 10 25
1 5 10 30
1 5 10 35
1 5 10 40
1 5 10 45
1 5 15 20
1 5 15 25
1 5 15 30
1 5 15 35
1 5 15 40
1 5 15 45
1 5 20 25
1 5 20 30
1 5 20 35
1 5 20 40
1 5 20 45
1 5 25 30
1 5 25 35
1 5 25 40
1 5 25 45
1 5 30 35
1 5 30 40
1 5 30 45
1 5 35 40
1 5 35 45
1 5 40 45
1 10 15 20
1 10 15 25
1 10 15 30
1 10 15 35
1 10 15 40
1 10 15 45
1 10 20 25
1 10 20 30
1 10 20 35
1 10 20 40
1 10 20 45
1 10 25 30
1 10 25 35
1 10 25 40
1 10 25 45
1 10 30 35
1 10 30 40
1 10 30 45
1 10 35 40
1 10 35 45
1 10 40 45
1 15 20 25
1 15 20 30
1 15 20 35
1 15 20 40
1 15 20 45
1 15 25 30
1 15 25 35
1 15 25 40
1 15 25 45
1 15 30 35
1 15 30 40
1 15 30 45
1 15 35 40
1 15 35 45
1 15 40 45
1 20 25 30
1 20 25 35
1 20 25 40
1 20 25 45
1 20 30 35
1 20 30 40
1 20 30 45
1 20 35 40
1 20 35 45
